ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Manage stock
,variable,VAR-HQ-1,,AirSense Áo Blazer,1,,,,Lấy cảm hứng từ phong cách thời trang học đường...,,,,,,,,,,,,,,,,,,Áo khoác,,,https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/477704/item/vngoods_69_477704_3x4.jpg,,,,,,,,,,,Size,"L, M",1,1,,Color,"Trắng, Đen",1,1,,
,variation,HQ-SM-W-M,,"AirSense Áo Blazer - Trắng, M",1,,,,,,,,,,50,,,,,,,,,,,450000.00,,,,,,,VAR-HQ-1,,,,,,,,Size,M,,,,Color,Trắng,,,,1.0
,variation,HQ-SM-W-L,,"AirSense Áo Blazer - Trắng, L",1,,,,,,,,,,30,,,,,,,,,,,450000.00,,,,,,,VAR-HQ-1,,,,,,,,Size,L,,,,Color,Trắng,,,,1.0
,variation,HQ-SM-B-M,,"AirSense Áo Blazer - Đen, M",1,,,,,,,,,,40,,,,,,,,,,,450000.00,,,,,,,VAR-HQ-1,,,,,,,,Size,M,,,,Color,Đen,,,,1.0
,variable,VAR-HQ-2,,AirSense Áo Khoác | Vải Wool-like | Họa Tiết,1,,,,Chất liệu cực kỳ thoải mái...,,,,,,,,,,,,,,,,,,Áo khoác,,,https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/468671/item/vngoods_05_468671_3x4.jpg,,,,,,,,,,,Size,S,1,1,,Color,Đen,1,1,,
,variation,HQ-AT-B-S,,"AirSense Áo Khoác | Vải Wool-like | Họa Tiết - Đen, S",1,,,,,,,,,,100,,,,,,,,,,,10000.00,,,,,,,VAR-HQ-2,,,,,,,,Size,S,,,,Color,Đen,,,,1.0
,variable,VAR-HQ-3,,AirSense Áo Khoác | Vải Wool-like,1,,,,"Chất vải nhẹ, co giãn, khô nhanh...",,,,,,,,,,,,,,,,,,Áo khoác,,,https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/448034/item/vngoods_08_448034_3x4.jpg,,,,,,,,,,,Size,,1,1,,Color,,1,1,,
,variable,VAR-HQ-4,,Áo Khoác Kiểu Sơ Mi Vải Cotton Linen,1,,,,Combines the texture of linen and natural cotton...,,,,,,,,,,,,,,,,,,Áo khoác,,,https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/482443/item/vngoods_30_482443_3x4.jpg,,,,,,,,,,,Size,,1,1,,Color,,1,1,,
,variable,VAR-HQ-11,,AIRism Cotton Áo Thun Dáng Rộng | Kẻ Sọc,1,,,,"Simple, versatile striped pattern with thin lines.",,,,,,,,,,,,,,,,,,Sơ thun,,,https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/484508/item/vngoods_00_484508_3x4.jpg,,,,,,,,,,,Size,M,1,1,,Color,Kẻ sọc,1,1,,
,variation,HQ-TS-ST-M,,"AIRism Cotton Áo Thun Dáng Rộng | Kẻ Sọc - Kẻ sọc, M",1,,,,,,,,,,60,,,,,,,,,,,250000.00,,,,,,,VAR-HQ-11,,,,,,,,Size,M,,,,Color,Kẻ sọc,,,,1.0
,variable,VAR-HQ-16,,Áo Len Milano Vải Gân Có Thể Giặt Máy,1,,,,Phù hợp cho môi trường công sở và ngày thường.,,,,,,,,,,,,,,,,,,Áo len & Áo dệt kim,,,https://image.uniqlo.com/UQ/ST3/vn/imagesgoods/453754/item/vngoods_10_453754_3x4.jpg,,,,,,,,,,,Size,,1,1,,Color,,1,1,,
